validation ppl,baseline,pre_err
500,56.61,43.93
1000,49.93,31.4
1500,45.33,26.34
2000,35.25,23.53
2500,28.44,21.73
3000,25.79,20.22
3500,23.77,18.69
4000,22.4,16.79
4500,21.26,14.92
5000,19.87,13.52
5500,18.8,12.63
6000,17.61,11.96
6500,16.55,11.68
7000,15.42,11.26
7500,14.26,10.99
8000,13.3,10.66
8500,12.62,10.54
9000,12.25,10.35
9500,11.83,10.23
10000,11.48,10.15
10500,11.19,9.95
11000,10.82,9.85
11500,10.69,9.69
12000,10.58,9.57
12500,10.41,9.48
13000,10.24,9.4
13500,10.05,9.35
14000,9.97,9.26
14500,9.84,9.22
15000,9.75,9.08
15500,9.6,9.11
16000,9.41,8.84
16500,9.42,8.98
17000,9.41,8.87
17500,9.3,8.85
18000,9.22,8.85
18500,9.25,8.79
19000,9.12,8.66
19500,8.97,8.58
20000,8.92,8.56
20500,8.92,8.61
21000,8.95,8.68
21500,8.92,8.54
22000,8.86,8.5
22500,8.81,8.52
23000,8.75,8.52
23500,8.7,8.43
24000,8.66,8.46
24500,8.59,8.39
25000,8.68,8.41
25500,8.63,8.37
26000,8.57,8.32
26500,8.65,8.36
27000,8.55,8.32
27500,8.53,8.35
28000,8.42,8.25
28500,8.41,8.16
29000,8.38,8.22
29500,8.44,8.22
30000,8.44,8.17
30500,8.39,8.21
31000,8.34,8.11
31500,8.39,8.14
32000,8.23,8.08
32500,8.19,8.02
33000,8.33,8.12
33500,8.33,8.14
34000,8.33,8.13
34500,8.27,8.11
35000,8.24,8.1
35500,8.2,8.03
36000,8.12,8.04
36500,8.11,8.04
37000,8.25,8.14
37500,8.27,7.96
38000,8.13,7.85
38500,8.23,7.78
39000,8.1,7.83
39500,8.11,7.79
40000,8.15,7.78
40500,8.01,7.74
